Dictionary,Type,Countries
COMMUNICATION INDUSTRY TECHNOLOGY,Entity,AU
Communist Party Of Peru,Entity,AU
Communist Party Of Peru On The Shining Path Of Jose Carlos Mariategui,Entity,AU
Communist Party of the Philippines,Entity,AU
COMPAGNIE AERIENNE DES GRANDS LACS ,Entity,AU
Company for Metallic Constructions & Mechanical Industries,Entity,AU
Composite Propellant Missile Industry,Entity,AU
Concern Almaz-Antey,Entity,AU
Concern Avtomatika ,Entity,AU
Concern Granit-Electron Joint Stock Company,Entity,AU
Concern Granit-Electron JSC,Entity,AU
Concern MPO—Gidropribor,Entity,NZ
CONCERN RADIO-ELECTRONIC TECHNOLOGIES,Entity,NZ
Congomet Trading House,Entity,AU
Conquest of the Levant Front,Entity,"AU, NZ"
CONTINUITY IRA ,Entity,AU
Cooperative Foundation of the Revolutionary Guards,Entity,AU
Cossack National Guard,Entity,"NZ, AU"
CPP,Entity,AU
CPP/NPA,Entity,AU
Credit Bank of Moscow,Bank,"NZ, AU"
Crimean Enterprise Azov Distillery Plant,Entity,AU
Crimean First Insurance Company,Entity,AU
Crimean Fuel Alliance of Republic of Crimea - State Unitary Enterprise,Entity,AU
Crimean Oil and Gas Company,Entity,AU
Crimean Ports,Entity,AU
Crimean Railway,Entity,AU
Crimean Railway Federal State Unitary Enterprise,Entity,AU
Crimean Republican Enterprise Azov Distillery,Entity,AU
Crimean Republican Enterprise Azov Distillery Plant,Entity,AU
Crimean Republican Enterprise Azovsky Likerovodochny Zavod,Entity,AU
Crimean Sea Ports,Entity,AU
Crimean State Aviation Enterprise Universal-Avia,Entity,AU
Crocus Nano Electronics,Entity,NZ
CRUISE MISSILE INDUSTRY GROUP,Entity,AU
Cruise Systems Industry Group,Entity,AU
Cyber Crime Office,Entity,AU
Cyber Police,Entity,AU
Dae-Dong Credit Bank,Entity,AU
DAEDONG CREDIT BANK (DCB),Entity,AU
Daesh Tunisia,Entity,AU
Daesong Credit Development Bank,Entity,AU
Daesong Trading,Entity,AU
Daesong Trading Company,Entity,AU
Dalian Global Unity Shipping Agency,Entity,AU
Dalian Global Unity Shipping Company Ltd,Entity,AU
DALIAN SUNNY INDUSTRIES,Entity,"AU, NZ"
Dalian Sunny Industry and Trade Co.,Entity,AU
DAMA,Entity,"AU, NZ"
Dandong Chengtai,Entity,AU
Dandong Chisong Metal Materials Company,Entity,AU
Dandong Rich Earth Trading Company Limited,Entity,AU
Dandong Zhicheng Metal Materials Company Limited,Entity,AU
Dandong Zhicheng Metallic Materials Company Limited,Entity,AU
Dandong Zhicheng Metallic Mineral Company Limited,Entity,AU
Daria Fanavar Borhan Sharif,Entity,AU
Dawlatul Islamiyah Waliyatul Mashriq,Entity,AU
DCB,Entity,AU
DCB Finance Limited,Entity,AU
Death Battalion,Entity,"NZ, AU"
Defence Industrial Organization,Entity,AU
DEFENCE INDUSTRIES ORGANISATION,Entity,AU
DEFENSE TECHNOLOGY AND SCIENCE RESEARCH CENTER,Entity,AU
Denise Company,Entity,AU
Department 140/14,Entity,AU
Department of Space Technology of the DPRK,Entity,AU
Department of the Kalaye Electric Company,Entity,AU
Derzhavne Pidpryemstvo Agrofirma Magarach Natsionalnogo Instytutu Vynogradu I Vyna Magarach,Entity,AU
Derzhavne Pidpryemstvo Zavod Shampanskykh Vyn Novy Svit,Entity,AU
DESIGN AND MANUFACTURING OF AERO ENGINES COMPANY,Entity,AU
Design and Manufacturing of Aircraft Engines,Entity,AU
Design and Manufacturing of Aircraft Engines (DAMA),Entity,NZ
Design Bureau of Machine Building Scientific and Production Corporation,Entity,AU
Design Bureau of Special Machine Building,Entity,NZ
Design Bureau of Special Machine Building Joint Stock Company,Entity ,AU
Design Bureau of Special Machinebuilding AO,Entity ,AU
Dev Sol,Entity,AU
Dev Sol Armed Revolutionary Units,Entity,AU
Dev Sol SDB,Entity,AU
Dev Sol Silahli Devrimci Birlikleri,Entity,AU
Devotees of Islam,Entity,AU
Devrimci Gençlik (Dev Genç),Entity,AU
Devrimci Halk Kurtulus Partisi-Cephesi,Entity,AU
Devrimci Sol,Entity,AU
DHKP/C,Entity,AU
DICO,Entity,AU
Die Basij Cooperative Foundation,Entity,AU
Dikuy Bogdim,Entity,AU
DIO,Entity,AU
DIO Marine Industries Group,Entity,AU
Directorate for Railroad Construction Berkakit-Tommot-Yakutia JSC,Entity,AU
Directorate of Yazd Ammunition and Metallurgy Industries,Entity,AU
Division 39,Entity,AU
Djamaat Turkistan  ,Entity,AU
Donbass People's Militia,Entity,NZ
Donbass People’s Militia,Entity,AU
Donetsk People’s Republic,Entity,AU
Donetsk Republic,Entity,AU
Donetsk Republic (Public Organisation),Entity,AU
Dongbang Bank,Entity,AU
DOOSTAN INTERNATIONAL COMPANY,Entity,AU
Dounia TV,Entity,AU
DOV,Entity,AU
DPRK Committee for Space Technology,Entity,AU
DPRKN Mining Development Trading Cooperation,Entity,AU
DSHRG Rusich,Entity,AU
DSZhD BTYa JSC,Entity,AU
DTSRC,Entity,AU
Dukhov Automatics Research Institute,Entity,AU
Dunay Probable Naval Missile Facility,Entity,"NZ, AU"
Dzem’ijjetul Furqan,Entity,AU
Dzemijetul Furkan,Entity,AU
Dzemilijati Furkan,Entity,AU
DZHAMAAT MODZHAKHEDOV,Entity,AU
E. S. Co.,Entity,AU
E. X. Co,Entity,AU
East Indonesia Mujahideen,Entity,AU
East Sea Shipping Company,Entity,AU
East Shipyard Joint Stock Company,Entity,AU
EASTERN TURKISTAN ISLAMIC MOVEMENT ,Entity,AU
ECI,Entity,AU
Educational Research Institute,Entity,AU
EGP,Entity,AU
Egyptian Al-Jihad,Entity,AU
Egyptian Al’Gama’at al Islamiyya,Entity,AU
EGYPTIAN ISLAMIC JIHAD,Entity,AU
Egyptian Islamic Movement,Entity,AU
Egyptian Revolution,Entity,AU
Ejército De Liberación Nacional,Entity,AU
Ejercito Guerrillero Popular,Entity,AU
Ejercito Popular De Liberacion,Entity,AU
Eko Development & Investment Food Company,Entity,AU
Eko Development and Investment Company,Entity,"AU, NZ"
EKO Development and Investment Food Company,Entity,AU
EKO Import & Export Company,Entity,AU
Eko Import and Export Company,Entity,AU
EKSAR OAO,Entity,AU
El Watan,Entity,AU
El-Tel,Entity,AU
El-Tel Co,Entity,AU
El-Tel Middle East,Entity,AU
El-Tel Middle East Company,Entity,AU
Elecon Plant Joint Stock Company,Entity ,AU
ELECTRO SANAM COMPANY,Entity,AU
Electronics Components Industries,Entity,AU
Electronstandart Russian Research Institute Joint Stock Company,Entity ,AU
Elekon Plant JSC,Entity ,AU
ELLALAN FORCE,Entity,AU
ELN,Entity,AU
Emam Hoseyn Comprehensive University,Entity,AU
Emarat Kavkaz,Entity,AU
Energospecmontazh JSC,Entity,AU
Energospezmontazh PJSC,Entity,AU
Energotsentr Irkut,Entity,NZ
Energy Sources Development Organization,Entity,AU
Engineering Design Bureau JSC,Entity,NZ
ENICS,Entity,AU
Enics Joint Stock Company,Entity,AU
EPL,Entity,AU
EQUIPMENT SUPPLIER FOR NUCLEAR INDUSTRIES CORPORATION,Entity,AU
ES Co,Entity,AU
ESNICO,Entity,AU
ETA,Entity,AU
Etemad Amin Invest Co Mobin,Entity,AU
Etemad Amin Investment Company Mobin,Entity,AU
Etemad Mobin Co.,Entity,AU
Etemad Mobin Trust Co.,Entity,AU
Etemad-e Mobin,Entity,"NZ, AU"
Etemade Mobin Company Mobin,Entity,AU
ETIM,Entity,AU
ETTEHAD TECHNICAL GROUP,Entity,AU
Euzkadi Ta Askatasuna,Entity,AU
EVRAZ KGOK,Entity,NZ
EVRAZ MARKET,Entity,NZ
EVRAZ NTMK,Entity,NZ
EVRAZ plc,Entity,NZ
EVRAZ VANADY TULA,Entity,NZ
EVRAZ ZSMK,Entity,NZ
EX Co,Entity,AU
EXIAR,Entity,AU
EXIAR JSC,Entity,AU
EXIAR OJSC,Entity,AU
Eximbank of Russia,Entity,AU
Expert Partners,Entity,AU
Experts Partners,Entity,AU
External Technology General Corporation,Entity,AU
Eyvaz Technic,Entity,AU
Eyvaz Technic Industrial Company Ltd,Entity,AU
Faater Institute,Entity,AU
FACI,Entity,AU
Factory of Sparkling Wine Novy Svet – State Enterprise,Entity,AU
Fajr Aeration and Composites Industries,Entity,AU
Fajr Aeronautics and Compound Material Industries,Entity,AU
Fajr Aviation & Composites Industry,Entity,AU
Fajr Aviation Composite Industries ,Entity,AU
Fajr Aviation Ind,Entity,AU
FAJR CORPS,Entity,AU
FAJR INDUSTRIAL GROUP,Entity,AU
Fajr Industries Group (FIG),Entity,AU
Falah-i-Insaniat Foundation (FIF),Entity,AU
FANAVARAN SANAT ERTEBATAT COMPANY,Entity,AU
Far Eastern Bank Joint Stock Company ,Entity,AU
FARASAKHT INDUSTRIES,Entity,AU
Farasepehr Engineering Company,Entity,AU
Faratech,Entity,AU
Faratech Company,Entity,AU
Farayand Technic,Entity,AU
FARAYAND TECHNIQUE,Entity,AU
Farayand Technique Company,Entity,AU
FATA,Entity,AU
FATA Police,Entity,AU
Fatah – the Revolutionary Council,Entity,AU
Fatah al-Sham Front,Entity,"NZ, AU"
Fatah Revolutionary Council,Entity,AU
Fateh al-Sham Front,Entity,AU
Fater Engineering Company,Entity,AU
Fater Engineering Institute,Entity,AU
FATER INSTITUTE,Entity,AU
FDLR,Entity,AU
Federal Hydro-Generating Company RusHydro,Entity,AU
Federal Research and Production Center Central Research Institute of Automation and Hydraulics,Entity,AU
Federal Research and Production Center Titan Barrikady ,Entity,AU
Federal Research Center Boreskov Institute of Catalysis,Entity,NZ
Federal Security Service of the Russian Federation,Entity,NZ
Federal Service for Financial Monitoring of the Russian Federation,Entity,AU
Federal state budget institution for science and research ‘All- Russia national scientific research institute for wine growing and wine making “Magarach” Russian Academy of Sciences’,Entity,AU
Federal State Budgetary Enterprise ‘Sanatorium Nizhnyaya Oreanda’ of the Administration of the President of the Russian Federation,Entity,AU
Federal State of Novorossiya,Entity,AU
"Federal State Unitary Enterprise ""Russian Federal Nuclear Center - All-Russian Research Institute of Technical Physics named after Academician E.I. Zababakhin""",Entity,AU
Federal State Unitary Enterprise All-Russian Research Institute of Experimental Physics,Entity,AU
Federal State Unitary Enterprise ATOMFLOT,Entity ,AU
Federal State Unitary Enterprise Dukhov Automatics Research Institute,Entity,AU
Federal State Unitary Enterprise Dukhov Automatics Research Institute (VNIIA),Entity,NZ
Federalnoe Gosudarstvennoe Byudzhetnoe Uchrezhdenie Sanatori Nizhnyaya Oreanda Upravleniya,Entity,AU
Federalnoe Gosudarstvennoe Byudzhetnoe Uchrezhdenie Sanatori Nizhnyaya Oreanda Upravleniya Delami Prezidenta Rossiskoi Fe,Entity,AU
Feng Sheng Co Ltd,Entity,AU
Feodosia Oil Products Supply Co.,Entity,AU
Feodosiia Enterprise on Supply of Oil Products,Entity,AU
Feodosiya Enterprise,Entity,AU
Feodosiya Enterprise On Providing Oil Products,Entity,AU
Feodosiya Petrol Products Supply State Enterprise,Entity,AU
Feodosiyske Company for The Oil,Entity,AU
Fgbu Sanatori Nizhnyaya Oreanda,Entity,AU
Firqat al-Takhrib wa al-Istitla al-Askariyah li Shuhada Riyadh al-Salihin,Entity,AU
First Credit Bank,Entity,AU
First Crimean Insurance Company,Entity,AU
First of October Antifascist Resistance Group ,Entity,AU
FIRST OIL JV CO LTD,Entity,AU
First Trust Bank,Entity,AU
FNPTs Titan-Barrikady,Entity,AU
FOCA,Entity,AU
Followers of Islam in Kurdistan,Entity,AU
Followers of the Prophet Muhammed,Entity,AU
Fond Perspektivnykh Issledovaniy,Entity,AU
Fondation coopérative Basij,Entity,AU
Force Combattante Abacunguzi,Entity,AU
"Forces
Démocratiques Alliées-Armée Nationale de Libération de l’Ouganda",Entity,AU
Forces Democratiques De Liberation Du Rwanda,Entity,AU
Forces Democratiques De Liberation Du Rwanda (FDLR),Entity,AU
Forefront of the Idea,Entity,AU
FOREIGN TRADE BANK (FTB),Entity,AU
Foreningen Al-Aqsa,Entity,AU
Formerly known as State unitary enterprise of the ‘Republic of Crimea’ Sparkling wine plant ‘Novy Svet’,Entity,AU
FORSS Marine,Entity,AU
Forss Marine Limited Liability Company,Entity,AU
Foundation for Development of the Center for Elaboration and Commercialization of New Technologies ,Entity,AU
Free Donbas,Entity,AU
Free Donbass,Entity,AU
Freedom and Democratic Congress of Kurdistan,Entity,AU
Front for the Conquest for Sham,Entity,AU
Front for the Conquest of Syria,Entity,AU
Front for the Conquest of Syria/the Levant,Entity,AU
Front for the Liberation of the Levant,Entity,AU
FSE,Entity,AU
FSE Tambov Gunpowder Plant,Entity,NZ
FSUE Atomflot,Entity ,AU
FSUE CRISM Prometey,Entity ,AU
FU 224,Entity,AU
Fulmen,Entity,AU
Fulmen Group,Entity,AU
GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION,Entity,AU
GADDAFI INTERNATIONAL FOUNDATION FOR CHARITY ORGANISATIONS,Entity,AU
Gama’a al Islamiyya,Entity,AU
Garagahe Sazandegi Ghaem,Entity,AU
Gas Industry Insurance Company SOGAZ,Entity,"NZ, AU"
Gazprom ,Entity,AU
Gazprom Neft,Entity,AU
Gazprom PJSC,Entity,NZ
Gazprombank,Bank,"NZ, AU"
Gazpromneft,Entity,NZ
GBAE,Entity,AU
GDAE,Entity,AU
Gefest-M LLC,Entity,AU
Genbank,Bank,"NZ, AU"
GENERAL BUREAU OF ATOMIC ENERGY,Entity,AU
General Department of Atomic Energy,Entity,AU
General Intelligence Directorate,Entity,AU
General Organisation for Engineering,Entity,AU
General Organisation for Engineering Industries,Entity,AU
General Security Directorate,Entity,AU
Geographical Organization of Iranian Armed Forces,Entity,AU
Geopolitica,Entity,AU
GHARAGAHE SAZANDEGI GHAEM,Entity,AU
Gharargah Ghaem,Entity,AU
Gharargah Ghaem Faater Institute,Entity,AU
Gharargah Karbala,Entity,AU
Gharargah Sazandegi Karbala-Moasseseh Taha,Entity,AU
Gharzolhasaneh Mehr Iran Bank,Entity,AU
Ghods Aviation Industries,Entity,AU
GHORB KARBALA,Entity,AU
GHORB NOOH,Entity,AU
Ghorb-e Karbala,Entity,AU
GI,Entity,AU
GIA,Entity,AU
GICM ,Entity,AU
GICT,Entity,AU
GID,Entity,AU
Givonim,Entity,AU
GLBC,Entity,AU
Global Communications Company,Entity,AU
Global Interface Company Inc.,Entity,AU
GLOBAL RELIEF FOUNDATION ,Entity,AU
GLOCOM,Entity,"NZ, AU"
God’s Helpers,Entity,AU
Golovnoye Sistemnoye Konstruktorskoye Byuro Open Joint-Stock Company of Almaz-Antey PVO Concern Imeni Academician A.A. Raspletin,Entity,AU
Gorgeous Bank of North Korea,Entity,AU
Gorooh Sepasad,Entity,AU
Gorouh Takhasosi Sepasad,Entity,AU
GosnNIImash JSC,Entity,AU
Gosudarstvennaya Koroporatsiya Razvitiya VEB.RF,Entity,AU
Gosudarstvennoe Uniarnoe Predpriyatie Respubliki Krym Universal,Entity,AU
Gosudarstvennoe Unitarnoe Predpryatie Respubliki Krym Universal-Avia,Entity,AU
Gosudarstvennoye,Entity,AU
Gosudarstvenoye Predpriyatiye Agro-Firma Magarach Nacionalnogo Instituta Vinograda I Vina Magarach,Entity,AU
Gosudarstvenoye Predpriyatiye Universal-Avia,Entity,AU
Gosudarstvenoye Predpriyatiye Zavod Shampanskykh Vin Novy Svet,Entity,AU
Goznak,Entity,NZ
GRAPO,Entity,AU
Great Don Army,Entity,AU
GREAT LAKES BUSINESS COMPANY,Entity,AU
GREEN PINE ASSOCIATED CORPORATION,Entity,AU
GRF,Entity,AU
Group led by Yamada,Entity,AU
Groupe Combattant Tunisien,Entity,AU
Groupe Islamique Arme,Entity,AU
Groupe Islamique Combattant Marocain,Entity,AU
Groupe Islamiste Combattant Tunisien,Entity,AU
Grupos de Resistencia Antifascista Primero de Octubre,Entity,AU
GSPC,Entity,AU
Guangzhou Syriss Logistics & Services,Entity,AU
Guardians of Religion,Entity,AU
Guidance Patrol,Entity,AU
Haeyang Crew Management Company,Entity,AU
Haji Abdul Basir and Zar Jameel Hawala,Entity,AU
Haji Abdul Basir Exchange Shop,Entity,AU
Haji Ahmad Shah Hawala,Entity,AU
Haji Alim Hawala,Entity,AU
Haji Baseer Hawala,Entity,AU
Haji Bashir and Zarjmil Hawala Company,Entity,AU
Haji Basir and Zarjamil Currency Exchange,Entity,AU
Haji Basir and Zarjmil Company Hawala,Entity,AU
Haji Basir Hawala,Entity,AU
Haji Hakim Hawala,Entity,AU
Haji Khair Ullah Money Service,Entity,AU
Haji Khairullah and Abdul Sattar and Company,Entity,AU
Haji Khairullah Haji Sattar Money Exchange,Entity,AU
Haji Khairullah Money Exchange,Entity,AU
Haji Khairullah-Haji Sattar Sarafi,Entity,AU
"Haji Muhammad Qasim Sarafi 
",Entity,AU
Haji Salam Hawala,Entity,AU
"Haji Zar Jamil, Haji Abdul Baseer Money Changer",Entity,AU
Halhul Squad,Entity,AU
Halu Mesru Savunma Kuvveti,Entity,AU
Hamas,Entity,AU
Hamcho Group,Entity,AU
Hamcho Group International,Entity,AU
Hamcho International,Entity,AU
Hamsho Group,Entity,AU
Hamsho Group International,Entity,AU
Hamsho International,Entity,AU
Hamsho International Group,Entity,AU
Hana Banking Corporation Limited,Entity,AU
Handasieh,Entity,AU
HANDASIEH – ORGANISATION FOR ENGINEERING INDUSTRIES,Entity,AU
Hanifa Exchange,Entity,AU
Hanifa Money Exchange Office,Entity,AU
"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL, SYRIAN ARAB REPUBLIC)",Entity,AU
Hanifah Currency Exchange,Entity,AU
Hanifah Exchange Company,Entity,AU
Hanifeh Exchange,Entity,AU
HAPJANGGANG SHIPPING CORP,Entity,AU
Haqqani Network (HQN),Entity,AU
HARA COMPANY,Entity,AU
Hara Institute,Entity,AU
Harakat al Jihad al Islami fi Filistin,Entity,AU
Harakat al Muqawama al Islamiya,Entity,AU
"Harakat al-Muthanna al-
Islamia",Entity,AU
HARAKAT AL-SHABAAB AL-MUJAAHIDIIN,Entity,AU
Harakat al-Shabaab al-Mujahideen,Entity,AU
Harakat Shabab al-Mujahidin,Entity,"NZ, AU"
Harakat Sham Al-Islam,Entity,AU
Harakat ul Jihad-e-Islami  ,Entity,AU
Harakat Ul-Ansar,Entity,AU
Harakat Ul-Mujahideen,Entity,AU
Harakat Ul-Mujahidin / HUM,Entity,AU
HARAKAT-UL JIHAD ISLAMI,Entity,AU
Harakat-ul-Ansar ,Entity,AU
HARAKATUL SHABAAB AL MUJAAHIDIIN,Entity,AU
Harakatul Shabaab al-Mujahidiin,Entity,AU
Haraket Sham al-Islam,Entity,AU
Harkat-al-Jihad-ul Islami ,Entity,AU
Harkat-ul-Jehad-al-Islami ,Entity,AU
Harkat-ul-Jihad-al Islami ,Entity,AU
Hay’at Tahrir al-Sham,Entity,"NZ, AU"
Hay’et Tahrir al-Sham,Entity,AU
Hayat Tahrir al-Sham,Entity,AU
HAZRAT ABBAS CORPS,Entity,AU
HAZRAT NABI AKRAM CORPS,Entity,AU
Hemmat Missile Industries Factory,Entity,AU
HESA,Entity,AU
HESA Trade Center,Entity,AU
Hesong Trading Company,Entity,AU
Hezan Parastina Gel,Entity,AU
Hezballah,Entity,AU
Hezbollah,Entity,AU
Hezbullah,Entity,AU
HIAST,Entity,AU
Higher Institute of Applied Science and Technology,Entity,AU
Highland Gold,Entity,AU
Highland Gold Mining Limited,Entity,AU
Hikari no Wa,Entity,AU
Hilal Ahmar Society Indonesia (HASI),Entity,AU
Hilltop Youth,Entity,AU
Hirbod Co,Entity,AU
Hisb'ul Shabaab,Entity,AU
HISB’UL SHABAAB,Entity,AU
Hizballah,Entity,AU
Hizbollah,Entity,AU
Hizbul Shabaab,Entity,"NZ, AU"
Hizbullah,Entity,AU
HONG KONG ELECTRONICS,Entity,AU
HONG KONG ELECTRONICS KISH CO.,Entity,AU
Hong White Co Ltd,Entity,AU
Horizont Group,Entity,AU
Horizont Holding Management Company OJSC,Entity,AU
Horizont Holding Management Company Open Joint Stock Company,Entity,AU
Hosseini Nejad Trading Co.,Entity,AU
House of Money,Entity,AU
Houthi Group,Entity,AU
Houthi Supporters,Entity,AU
Houthis,Entity,AU
Houthist Elements,Entity,AU
HPG,Entity,AU
HTC,Entity,AU
HTS,Entity,AU
HUA,Entity,"NZ, AU"
Huaxin Shipping Hongkong Ltd,Entity,AU
Huichon Ryonha Machinery General Plant,Entity,AU
HUJI,Entity,AU
Humani’Terre,Entity,AU
Hunaifa Office,Entity,AU
Hunjin TRADING Co,Entity,AU
Hurras al-Din,Entity,AU
Huthi Supporters,Entity,AU
Huthis,Entity,AU
Huthist Elements,Entity,AU
Hwaryo Bank,Entity,AU
IACI,Entity,AU
IAI,Entity,AU
IAIO,Entity,AU
IAMCO,Entity,AU
IAMI,Entity,AU
IAP,Entity,AU
Ibex Shipping Inc,Entity,AU
ICEI,Entity,AU
ICI,Entity,AU
Idarat Al-‘Amin Al-Siyyasi,Entity,AU
Idarat Al-Amin Al-‘Amm,Entity,AU
IDLEB COMPANY FOR SPINNING,Entity,AU
IEI,Entity,AU
IEMZ Kupol JSC,Entity,AU
IFP,Entity,"NZ, AU"
IG,Entity,AU
IHU,Entity,AU
Ilsim International Bank,Entity,AU
IMA Consulting,Entity,NZ
IMAM HASSAN MUJTABA CORPS,Entity,AU
Imam Hoseyn University,Entity,AU
Imam Hossein University  ,Entity,AU
Imam Hossein University Complex,Entity,AU
Imam Hussein University,Entity,AU
Imen Sazan Consultant Engineers,Entity,AU
IMENSAZAN CONSULTANT ENGINEERS INSTITUTE,Entity,AU
IMICO,Entity,AU
Imperial Legion,Entity,AU
IMU,Entity,AU
In Siratel,Entity,AU
Independent Insurance Group LTD,Entity,NZ
Indicator of Improvement of Industry Company,Entity,AU
Indonesia (MMI),Entity,AU
Indonesia Hilal Ahmar Society for Syria,Entity,AU
Indonesian Islamic Warriors' Council,Entity,AU
Indonesian Mujahedeen Council,Entity,AU
Indonesian Mujahideen Council,Entity,AU
Indonesian Mujahidin Council,Entity,AU
INDUSTRIAL FACTORIES OF PRECISION (IFP) MACHINERY,Entity,AU
Industrial Factories of Precision Machinery Group,Entity,AU
Industrial Group Ettehad,Entity,AU
Industrial Savings Bank,Bank,NZ
Industrial Savings Bank (IS Bank),Entity,AU
Industrial Solutions,Entity,AU
Industrial-Commercial Private Unitary Enterprise Minotor-Service,Entity,AU
InfoRos,Entity,NZ
Institute of Applied Physics ,Entity,AU
Instrumentation Factories of Precision-Machinery,Entity,AU
Instrumentation Factories Plant,Entity,AU
Instrumentation Factory Plant,Entity,AU
International Battalion,Entity,AU
International Chemical Joint Venture Company,Entity,AU
International Golden Services Sdn Bhd,Entity,AU
International Golden System Sdn Bhd,Entity,AU
International Golden Systems Sdn Bhd,Entity,AU
International Sikh Youth Federation,Entity,AU
International Union of Public Associations 'Great Don Army',Entity,NZ
International Union of Public Associations ‘Great Don Army’,Entity,AU
Internet Research Agency,Entity,NZ
Internet Research Agency LLC,Entity,AU
Interpal,Entity,AU
Interregional Social Organisation Union of Donbas Volunteers,Entity,NZ
Invest Capital Bank,Entity,AU
Investcapitalbank ,Entity,AU
IOI,Entity,AU
IRA,Entity,AU
Iran Aircraft,Entity,AU
Iran Aircraft Industries ,Entity,AU
Iran Aircraft Industries Co,Entity,AU
Iran Aircraft Manufacturing Company,Entity,AU
IRAN CENTRIFUGE TECHNOLOGY COMPANY,Entity,AU
Iran Communications Industries ,Entity,AU
Iran Communications Industries Group,Entity,AU
Iran Cutting Tools Company,Entity,AU
Iran Electronic Industries ,Entity,AU
Iran Marine Industrial Company ,Entity,AU
Iran Marine Industries Company Co,Entity,AU
Iran Marine Industry Co.,Entity,AU
Iran Morality Police,Entity,AU
Iran Pooya,Entity,AU
Iran Pouya ,Entity,AU
Iran Saffron Company,Entity,AU
Iranian Aviation Industries Organization,Entity,AU
IRANIAN CYBER POLICE,Entity,AU
Iranian National Geographical Organization of Armed Forces,Entity,AU
IRGC,Entity,AU
IRGC AEROSPACE FORCE,Entity,AU
IRGC Air Force,Entity,AU
IRGC AIR FORCE AL-GHADIR MISSILE COMMAND,Entity,AU
IRGC Cooperative Foundation,Entity,AU
IRGC Missile Command,Entity,AU
IRGC NAVY,Entity,AU
IRGC QODS FORCE,Entity,AU
IRGC SSJO,Entity,AU
IRGCAF,Entity,AU
Irish Republican Army,Entity,AU
Irkut Corporation,Entity,NZ
Irkut-Avtotrans,Entity,NZ
Irkut-Remstroi,Entity,NZ
Irkut-Stanko Service,Entity,NZ
Irkutsk Aviation Plant,Entity,NZ
IS-Sinai,Entity,AU
IS-Somalia,Entity,AU
IS–Libya,Entity,AU
Isfahan Optics Industries,Entity,AU
ISI,Entity,AU
ISIL in Yemen,Entity,AU
ISIL Khorasan,Entity,AU
ISIL Sinai Province,Entity,AU
ISIL Somalia,Entity,AU
ISIL-Sinai,Entity,AU
ISIL-Tunisia,Entity,AU
ISIL-Tunisia Province,Entity,AU
ISIL's South Asia Branch,Entity,AU
ISIS in East Africa ,Entity,AU
ISIS in the Greater Sahara,Entity,AU
ISIS in the Greater Sahel,Entity,AU
ISIS in the Islamic Sahel,Entity,AU
ISIS in Yemen,Entity,AU
ISIS Wilayat Khorasan,Entity,AU
ISIS-Sinai,Entity,AU
ISIS-Somalia,Entity,AU
ISIS-SP,Entity,AU
Iskra Engineering Design Bureau JSC named after I.I. Kartukov,Entity ,AU
Islamic Army of Aden,Entity,AU
Islamic Charitable Society for al-Aqsa,Entity,AU
Islamic Gama’at,Entity,AU
Islamic Group,Entity,AU
Islamic Guidance Patrol,Entity,AU
Islamic Holy War,Entity,AU
Islamic International Brigade,Entity,AU
Islamic Jihad,Entity,"NZ, AU"
Islamic Jihad for the Liberation of Palestine,Entity,AU
ISLAMIC JIHAD GROUP,Entity,AU
ISLAMIC JIHAD GROUP OF UZBEKISTAN,Entity,AU
Islamic Jihad Organization,Entity,AU
Islamic Jihad Palestine,Entity,AU
Islamic Jihad Union  ,Entity,AU
Islamic Jihad—Palestine Faction and Islamic Holy War,Entity,AU
Islamic Movement of Uzbekistan,Entity,AU
Islamic Party of Turkestan ,Entity,AU
Islamic Peacekeeping Battalion,Entity,AU
Islamic Peacekeeping International Brigade,Entity,AU
Islamic Regiment of Special Meaning,Entity,AU
Islamic Resistance,Entity,AU
Islamic Resistance Movement,Entity,AU
ISLAMIC REVOLUTION GUARD CORPS NAVAL FORCE,Entity,AU
Islamic Revolution Guards Corps Resistance Force,Entity,AU
Islamic Revolutionary Guard Corps Aerospace Force,Entity,NZ
Islamic Revolutionary Guard Corps Missile Command,Entity,AU
Islamic Revolutionary Guard Corps Organized Crimes Investigation Center,Entity,AU
Islamic Revolutionary Guard Corps Research and Self-Sufficiency Jihad Organization,Entity,AU
Islamic Revolutionary Guard Corps Research and Self-Sufficiency Jihad Organization (IRGC SSJO),Entity,NZ
Islamic Revolutionary Guards Corps ,Entity,AU
Islamic Revolutionary Guards Corps Aerospace Force,Entity,AU
Islamic Salvation Foundation,Entity,AU
Islamic State - Sinai Province,Entity,AU
Islamic State East Asia Division,Entity,AU
Islamic State in Iraq and Syria - greater Sahara (ISIS - GS),Entity,AU
Islamic State in Iraq and the Levant,Entity,AU
Islamic State in Iraq and the Levant - Khorasan (ISIL- K),Entity,AU
Islamic State in Iraq and the Levant - Libya,Entity,AU
Islamic State in Iraq and the Levant - West Africa (ISIL -WA),Entity,AU
Islamic State in Iraq and the Levant - Yemen,Entity,AU
"Islamic State In Iraq And the Levant In South-East Asia (ISIL-SEA, ISIL-South East Asia)",Entity,AU
Islamic State in Libya,Entity,AU
Islamic State in the Greater  Sahara (ISGS),Entity,AU
Islamic State in the Sinai,Entity,AU
