Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
19667,Акціонерне товариство «Тульський патронний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19668,Товариство з обмеженою відповідальністю ІК «Фрідом Фінанс»,legal,active,726/2022,2022-10-19,,,,,,,,,
19669,Товариство з обмеженою відповідальністю Банк «Фрідом Фінанс»,legal,active,726/2022,2022-10-19,,,,,,,,,
19670,Товариство з обмеженою відповідальністю «Фрідом Фінанс Україна»,legal,active,726/2022,2022-10-19,,,,,,,,,
19671,Публічне акціонерне товариство «Центр з обробки вантажів в контейнерах «Трансконтейнер»,legal,active,726/2022,2022-10-19,,,,,,,,,
19673,Контактпей Солюшн Лтд,legal,active,726/2022,2022-10-19,,,,,,,,,
19674,Пейстрі Лтд,legal,active,726/2022,2022-10-19,,,,,,,,,
19675,Публічне акціонерне товариство «Брянский Арсенал»,legal,active,726/2022,2022-10-19,,,,,,,,,
19676,Товариство з обмеженою відповідальністю «Військово-промислова компанія»,legal,active,726/2022,2022-10-19,,,,,,,,,
19682,Товариство з обмеженою відповідальністю «ВСМПО Титан Україна»,legal,excluded,726/2022,2022-10-19,,,,,,,,,
19683,ВСМПО ТіРус ГмбХ,legal,active,726/2022,2022-10-19,,,,,,,,,
19684,Акціонерне товариство «Завод № 9»,legal,active,726/2022,2022-10-19,,,,,,,,,
19685,Товариство з обмеженою відповідальністю «Уральське конструкторське бюро вагонобудування»,legal,active,726/2022,2022-10-19,,,,,,,,,
19686,Акціонерне товариство «Центральний науково-дослідний інститут «Буревісник»,legal,active,726/2022,2022-10-19,,,,,,,,,
19687,Акціонерне товариство «Уралкріомаш»,legal,active,726/2022,2022-10-19,,,,,,,,,
19688,Акціонерне товариство «Спеціальне конструкторське бюро транспортного машинобудування»,legal,active,726/2022,2022-10-19,,,,,,,,,
19689,Акціонерне товариство «61 Бронетанковий ремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19690,Акціонерне товариство «560 Бронетанковий ремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19691,Товариство з обмеженою відповідальністю «УВЗ-Спецсервіс»,legal,active,726/2022,2022-10-19,,,,,,,,,
19692,Акціонерне товариство «192 Центральний завод залізничної техніки»,legal,active,726/2022,2022-10-19,,,,,,,,,
19693,Акціонерне товариство «Ленінградський механічний завод імені Карла Лібкнехта»,legal,active,726/2022,2022-10-19,,,,,,,,,
19694,Акціонерне товариство «Пензенський науково-дослідний електротехнічний інститут»,legal,active,726/2022,2022-10-19,,,,,,,,,
19695,Акціонерне товариство «Пензенське виробниче об’єднання «Електроприбор»,legal,active,726/2022,2022-10-19,,,,,,,,,
19696,Акціонерне товариство «Калузький електромеханічний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19697,Акціонерне товариство «Науково–дослідний інститут двигунів»,legal,active,726/2022,2022-10-19,,,,,,,,,
19698,Акціонерне товариство «Муромське спеціальне конструкторське бюро»,legal,active,726/2022,2022-10-19,,,,,,,,,
19699,Акціонерне товариство «Всеросійський науково-дослідний інститут транспортного машинобудування»,legal,active,726/2022,2022-10-19,,,,,,,,,
19700,Акціонерне товариство «121 авіаційний ремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19701,Акціонерне товариство «НПО ПМ-Развітіє»,legal,active,726/2022,2022-10-19,,,,,,,,,
19702,Публічне акціонерне товариство «Радіофізика»,legal,active,726/2022,2022-10-19,,,,,,,,,
19703,Відкрите акціонерне товариство «170 ремонтний завод засобів забезпечення польотів»,legal,active,726/2022,2022-10-19,,,,,,,,,
19704,Відкрите акціонерне товариство «32 ремонтний завод засобів забезпечення польотів»,legal,active,726/2022,2022-10-19,,,,,,,,,
19705,Відкрите акціонерне товариство «680 авіаційний ремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19706,Публічне акціонерне товариство «Науково-виробниче підприємство «Імпульс»,legal,active,726/2022,2022-10-19,,,,,,,,,
19707,Відкрите акціонерне товариство «720 ремонтний завод засобів забезпечення польотів»,legal,active,726/2022,2022-10-19,,,,,,,,,
19708,Акціонерне товариство «Іжевський електромеханічній завод «Купол»,legal,active,726/2022,2022-10-19,,,,,,,,,
19709,Акціонерне товариство «Кемеровський механічний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19710,Акціонерне товариство «Акціонерна компанія «Туламашзавод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19711,Акціонерне товариство «Серпуховський завод «Металіст»,legal,active,726/2022,2022-10-19,,,,,,,,,
19712,Акціонерне товариство Центральне конструкторське бюро апаратобудування,legal,active,726/2022,2022-10-19,,,,,,,,,
19713,Акціонерне товариство «Тулаточмаш»,legal,active,726/2022,2022-10-19,,,,,,,,,
19714,Товариство з обмеженою відповідальністю «Невський суднобудівельно-судноремонтний завод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19715,Акціонерне товариство «Стелла-К»,legal,active,726/2022,2022-10-19,,,,,,,,,
19716,Акціонерне товариство «Виробниче об’єднання «Уральський оптико-механічний завод» імені Е. С. Яламова»,legal,active,726/2022,2022-10-19,,,,,,,,,
19717,Нижегородське акціонерне товариство «Гідромаш» імені В. І. Лузяніна,legal,active,726/2022,2022-10-19,,,,,,,,,
19718,Акціонерне товариство «Ульяновське конструкторське бюро приладобудування»,legal,active,726/2022,2022-10-19,,,,,,,,,
19719,Акціонерне товариство «Уральська великовантажна техніка-Уралвагонзавод»,legal,active,726/2022,2022-10-19,,,,,,,,,
19720,Акціонерне товариство «Брянський завод колісних тягачів-Алмаз-Антей»,legal,active,726/2022,2022-10-19,,,,,,,,,
19721,Фонд зі сприяння і розвитку оборонно-промислових підприємств,legal,active,726/2022,2022-10-19,,,,,,,,,
19722,"Акціонерне товариство ""Чепецький механічний завод""",legal,active,726/2022,2022-10-19,,,,,,,,,
19723,Акціонерне товариство «Науково-технічний центр промислових технологій та аеронавігаційних систем»,legal,active,726/2022,2022-10-19,,,,,,,,,
19724,Акціонерне товариство «Металлоторг»,legal,active,726/2022,2022-10-19,,,,,,,,,
19725,Товариство з обмеженою відповідальністю «Труконф»,legal,active,726/2022,2022-10-19,,,,,,,,,
19726,Товариство з обмеженою відповідальністю «Інформаційне агентство «112.ЮЕЙ»,legal,active,726/2022,2022-10-19,,,,,,,,,
27442,Товариство з обмеженою відповідальністю «МФ Лоджистікс»,legal,active,726/2022,2022-10-19,,,,,,,,,
20107,"Товариство з обмеженою відповідальністю ""РОЯЛ ПЕЙ ЮРОП""",legal,active,14/2023,2023-01-12,,,,,,,,,
20327,"Товариство з обмеженою відповідальністю ""Балтонексім Лізинг Північ-Захід""",legal,active,50/2023,2023-01-28,,,,,,,,,
20328,"Товариство з обмеженою відповідальністю ""Основа Груп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20329,"Товариство з обмеженою відповідальністю ""Пурпетрубопроводстрой""",legal,active,50/2023,2023-01-28,,,,,,,,,
20330,"Акціонерне товариство ""Вестальянс Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20331,"Товариство з обмеженою відповідальністю ""Атлант""",legal,active,50/2023,2023-01-28,,,,,,,,,
20332,"Товариство з обмеженою відповідальністю ""Відкритий Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20333,"Товариство з обмеженою відповідальністю ""ПСБ Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20334,"Товариство з обмеженою відповідальністю ""СВК""",legal,active,50/2023,2023-01-28,,,,,,,,,
20335,"Відкрите акціонерне товариство ""Білоруськалій""",legal,active,50/2023,2023-01-28,,,,,,,,,
20336,"Товариство з обмеженою відповідальністю ""ГТІ Менеджмент""",legal,active,50/2023,2023-01-28,,,,,,,,,
20337,"Товариство з обмеженою відповідальністю ""Фінансбізнесгруп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20338,"Публічне акціонерне товариство ""Трансфін-М""",legal,active,50/2023,2023-01-28,,,,,,,,,
20339,"Акціонерне товариство ""Норд""",legal,active,50/2023,2023-01-28,,,,,,,,,
20340,"Товариство з обмеженою відповідальністю транспортна дирекція НВО ""Азот""",legal,active,50/2023,2023-01-28,,,,,,,,,
20341,"Товариство з обмеженою відповідальністю ""Реілго""",legal,active,50/2023,2023-01-28,,,,,,,,,
20342,"Публічне акціонерне товариство ""Уралкалій""",legal,active,50/2023,2023-01-28,,,,,,,,,
20343,"Республіканське унітарне підприємство із транспортування і забезпечення скрапленими нафтовими газами, РУП ""СГ-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20344,"Відкрите акціонерне товариство ""Гомельський хімічний завод""",legal,active,50/2023,2023-01-28,,,,,,,,,
20345,"Товариство з обмеженою відповідальністю ""Вектор Рейл Актив""",legal,active,50/2023,2023-01-28,,,,,,,,,
20346,"Державне об’єднання ""Білоруська залізниця""",legal,active,50/2023,2023-01-28,,,,,,,,,
20347,"Акціонерне товариство ""Інтер Карго Компані""",legal,active,50/2023,2023-01-28,,,,,,,,,
20348,"Товариство з обмеженою відповідальністю ""Співдружність Транс-Агро""",legal,active,50/2023,2023-01-28,,,,,,,,,
20349,"Акціонерне товариство ""Рузаєвський завод хімічного машинобудування""",legal,active,50/2023,2023-01-28,,,,,,,,,
20350,"Акціонерне товариство ""Ярославський технічний вуглець ім. В.Ю. Орлова""",legal,active,50/2023,2023-01-28,,,,,,,,,
20351,"Товариство з обмеженою відповідальністю ""Спецтрансгарант""",legal,active,50/2023,2023-01-28,,,,,,,,,
20352,Акціонерне товариство Алтайського вагонобудівництва,legal,active,50/2023,2023-01-28,,,,,,,,,
20353,"Товариство з обмеженою відповідальністю ""Петросибтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20354,"Товариство з обмеженою відповідальністю ""Башкирська перевізна компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20355,"Товариство з обмеженою відповідальністю ""Логістор Груп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20356,"Товариство з обмеженою відповідальністю ""Гіннес Рейл""",legal,active,50/2023,2023-01-28,,,,,,,,,
20357,"Товариство з обмеженою відповідальністю ""Сибірська Лізингова Компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20358,"Товариство з обмеженою відповідальністю ""Регіональна Інжинірингова Компанія – Освоєння Нових Технологій""",legal,active,50/2023,2023-01-28,,,,,,,,,
20359,"Товариство з обмеженою відповідальністю ""Газпромбанк Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20360,"Акціонерне товариство ""Група компаній ""Титан""",legal,active,50/2023,2023-01-28,,,,,,,,,
20361,"Акціонерне товариство ""Екза""",legal,active,50/2023,2023-01-28,,,,,,,,,
20362,"Товариство з обмеженою відповідальністю ""Трансальянс Захід""",legal,active,50/2023,2023-01-28,,,,,,,,,
20363,"Товариство з обмеженою відповідальністю ""Транспортні Технології""",legal,active,50/2023,2023-01-28,,,,,,,,,
20364,"Товариство з обмеженою відповідальністю ""Газпромтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20365,"Товариство з обмеженою відповідальністю ""Архбум""",legal,active,50/2023,2023-01-28,,,,,,,,,
20366,"Товариство з обмеженою відповідальністю ""Уральський Рухомий Склад""",legal,active,50/2023,2023-01-28,,,,,,,,,
20367,"Акціонерне товариство ""Спеценерготранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20368,"Товариство з обмеженою відповідальністю ""Регіон груп Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20369,"Товариство з обмеженою відповідальністю ""Торговий дім Бєлнєфтємаш""",legal,active,50/2023,2023-01-28,,,,,,,,,
20370,"Товариство з обмеженою відповідальністю ""Топлайн""",legal,active,50/2023,2023-01-28,,,,,,,,,
20371,"Товариство з обмеженою відповідальністю ""Унітранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20372,"Акціонерне товариство ""Святогор""",legal,active,50/2023,2023-01-28,,,,,,,,,
20373,"Товариство з обмеженою відповідальністю ""Вантажна служба-Захід""",legal,active,50/2023,2023-01-28,,,,,,,,,
20374,"Акціонерне товариство ""Московський коксогазовий завод""",legal,active,50/2023,2023-01-28,,,,,,,,,
20375,"Акціонерне товариство ""Регіон Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20376,"Акціонерне товариство ""Рославльський вагоноремонтний завод""",legal,active,50/2023,2023-01-28,,,,,,,,,
20377,"Акціонерне товариство ""Транспортна корпорація""",legal,active,50/2023,2023-01-28,,,,,,,,,
20378,"Товариство з обмеженою відповідальністю ""Балтійський Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20379,"Товариство з обмеженою відповідальністю ""Дельтахолдінг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20380,"Товариство з обмеженою відповідальністю ""Транспортна група Транско""",legal,active,50/2023,2023-01-28,,,,,,,,,
20381,"Товариство з обмеженою відповідальністю ""Транспортно-логістична компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20382,"Товариство з обмеженою відповідальністю ""Ексимтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20383,"Товариство з обмеженою відповідальністю ""Уралрейл""",legal,active,50/2023,2023-01-28,,,,,,,,,
20384,"Відкрите акціонерне товариство ""Промагролізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20385,"Товариство з обмеженою відповідальністю ""ЗапТрансЛогістик""",legal,active,50/2023,2023-01-28,,,,,,,,,
20386,"Товариство з обмеженою відповідальністю ""Актив""",legal,active,50/2023,2023-01-28,,,,,,,,,
20387,"Акціонерне товариство Лізингова компанія ""Азія Корпорейшен""",legal,active,50/2023,2023-01-28,,,,,,,,,
20389,"Товариство з обмеженою відповідальністю ""Інтек""",legal,active,50/2023,2023-01-28,,,,,,,,,
20390,"Товариство з обмеженою відповідальністю лізингова компанія ""Центрлізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20391,"Товариство з обмеженою відповідальністю лізингова компанія ""Лізинг-Капітал""",legal,active,50/2023,2023-01-28,,,,,,,,,
20392,"Товариство з обмеженою відповідальністю ""Лауде""",legal,active,50/2023,2023-01-28,,,,,,,,,
20393,"Товариство з обмеженою відповідальністю ""Компас Груп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20394,"Товариство з обмеженою відповідальністю ""Компанія Югус""",legal,active,50/2023,2023-01-28,,,,,,,,,
20395,"Товариство з обмеженою відповідальністю ""Карго Фер-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20396,"Товариство з обмеженою відповідальністю ""Інвест-Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20397,"Товариство з обмеженою відповідальністю ""Інвестактив""",legal,active,50/2023,2023-01-28,,,,,,,,,
20398,"Товариство з обмеженою відповідальністю ""Зеніт Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20399,"Товариство з обмеженою відповідальністю ""Десса""",legal,active,50/2023,2023-01-28,,,,,,,,,
20400,"Товариство з обмеженою відповідальністю ""Делфін Логістик""",legal,active,50/2023,2023-01-28,,,,,,,,,
20401,"Товариство з обмеженою відповідальністю ""Він Ру""",legal,active,50/2023,2023-01-28,,,,,,,,,
20402,"Товариство з обмеженою відповідальністю ""Вагон""",legal,active,50/2023,2023-01-28,,,,,,,,,
20403,"Товариство з обмеженою відповідальністю ""Белті-Гранд""",legal,active,50/2023,2023-01-28,,,,,,,,,
20404,"Товариство з обмеженою відповідальністю ""Буїнський Цукор""",legal,active,50/2023,2023-01-28,,,,,,,,,
20405,"Товариство з обмеженою відповідальністю ""Арт-Тех""",legal,active,50/2023,2023-01-28,,,,,,,,,
20406,"Акціонерне товариство ""Псковвтормет""",legal,active,50/2023,2023-01-28,,,,,,,,,
20407,"Товариство з обмеженою відповідальністю ""Кучуктермінал""",legal,active,50/2023,2023-01-28,,,,,,,,,
20408,"Акціонерне товариство ""Російська контейнерна компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20409,"Товариство з обмеженою відповідальністю ""АБЦ-Рейл""",legal,active,50/2023,2023-01-28,,,,,,,,,
20410,"Товариство з обмеженою відповідальністю ""Ангстрем""",legal,active,50/2023,2023-01-28,,,,,,,,,
20411,"Товариство з обмеженою відповідальністю ""Вагонпромсервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20412,"Товариство з обмеженою відповідальністю ""Вагонна вантажна компанія ""Вектор""",legal,active,50/2023,2023-01-28,,,,,,,,,
20413,"Товариство з обмеженою відповідальністю ""ВестКомТранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20414,"Товариство з обмеженою відповідальністю ""Вагоноремонтна компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20415,"Товариство з обмеженою відповідальністю ""Карго Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20416,"Товариство з обмеженою відповідальністю ""Об’єднана Транспортна Компанія ""Юнітранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20417,"Товариство з обмеженою відповідальністю ""Перший промисловий оператор""",legal,active,50/2023,2023-01-28,,,,,,,,,
20418,"Товариство з обмеженою відповідальністю ""Профтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20419,"Товариство з обмеженою відповідальністю ""Рейлтранссервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20420,"Товариство з обмеженою відповідальністю ""Репетек""",legal,active,50/2023,2023-01-28,,,,,,,,,
20421,"Товариство з обмеженою відповідальністю ""Лізінгова компанія ""СВ-Транспорт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20422,"Товариство з обмеженою відповідальністю ""Строй Ремонт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20423,"Товариство з обмеженою відповідальністю ""ТЕК Транслін""",legal,active,50/2023,2023-01-28,,,,,,,,,
20425,"Товариство з обмеженою відповідальністю ""Орентранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20426,"Товариство з обмеженою відповідальністю ""НТЛ""",legal,active,50/2023,2023-01-28,,,,,,,,,
20427,"Товариство з обмеженою відповідальністю ""АСБ Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20428,"Республіканське транспортно-експедиційне унітарне підприємство ""Белінтертранс - транспортно-логістичний центр"" Білоруської залізниці",legal,active,50/2023,2023-01-28,,,,,,,,,
20429,"Акціонерне товариство ""Сибур-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20430,"Акціонерне товариство ""Середньоволзьке підприємство залізничного транспорту""",legal,active,50/2023,2023-01-28,,,,,,,,,
20431,"Товариство з обмеженою відповідальністю ""Вантажна компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20432,"Товариство з обмеженою відповідальністю ""Рейлкрафт сервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20433,"Товариство з обмеженою відповідальністю ""Р-Транс ТК""",legal,active,50/2023,2023-01-28,,,,,,,,,
20434,"Товариство з обмеженою відповідальністю ""Ей-Сі-Рейл""",legal,active,50/2023,2023-01-28,,,,,,,,,
20435,"Казанське публічне акціонерне товариство ""Органічний синтез""",legal,active,50/2023,2023-01-28,,,,,,,,,
20436,"Акціонерне товариство ""Метафракс Кемікалс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20437,"Товариство з обмеженою відповідальністю ""Транзит-Авто 2003""",legal,active,50/2023,2023-01-28,,,,,,,,,
20439,"Товариство з обмеженою відповідальністю ""Лізингова компанія ""Фінсервіс лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20440,"Товариство з обмеженою відповідальністю ""Фірма ""Транзит-Плюс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20441,"Товариство з обмеженою відповідальністю ""ЮніКредит лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20442,"Акціонерне товариство ""Щекіноазот""",legal,active,50/2023,2023-01-28,,,,,,,,,
20443,"Іноземне товариство з обмеженою відповідальністю ""Кроноспан ОСБ""",legal,active,50/2023,2023-01-28,,,,,,,,,
20444,"Закрите акціонерне товариство ""Науково-виробниче об'єднання ""Сіларус""",legal,active,50/2023,2023-01-28,,,,,,,,,
20445,"Товариство з обмеженою відповідальністю ""Анкор""",legal,active,50/2023,2023-01-28,,,,,,,,,
20446,"Товариство з обмеженою відповідальністю ""Дальтрансактив""",legal,active,50/2023,2023-01-28,,,,,,,,,
20447,"Товариство з обмеженою відповідальністю ""Жефко""",legal,active,50/2023,2023-01-28,,,,,,,,,
20448,"Товариство з обмеженою відповідальністю ""Кенпо-калій транспорт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20449,"Товариство з обмеженою відповідальністю ""Лізингова компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20450,"Товариство з обмеженою відповідальністю ""МПО Вагонтранскомплект""",legal,active,50/2023,2023-01-28,,,,,,,,,
20451,"Товариство з обмеженою відповідальністю ""МТР-Трейдінг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20452,"Товариство з обмеженою відповідальністю ""Промтранссервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20453,"Товариство з обмеженою відповідальністю ""ПТК""",legal,active,50/2023,2023-01-28,,,,,,,,,
20454,"Товариство з обмеженою відповідальністю ""РБ Груп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20455,"Товариство з обмеженою відповідальністю ""Системний транспортний сервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20456,"Товариство з обмеженою відповідальністю ""Терра-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20457,"Товариство з обмеженою відповідальністю ""Трансгруз""",legal,active,50/2023,2023-01-28,,,,,,,,,
20458,"Товариство з обмеженою відповідальністю ""ТрансМ""",legal,active,50/2023,2023-01-28,,,,,,,,,
20459,"Товариство з обмеженою відповідальністю ""Транспоставка""",legal,active,50/2023,2023-01-28,,,,,,,,,
20460,"Товариство з обмеженою відповідальністю ""Трейдсервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20461,"Товариство з обмеженою відповідальністю ""Фрейт Карго""",legal,active,50/2023,2023-01-28,,,,,,,,,
20462,"Товариство з обмеженою відповідальністю ""Ермі-Транспорт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20463,"Публічне акціонерне товариство ""Гайський гірничо-збагачувальний комбінат""",legal,active,50/2023,2023-01-28,,,,,,,,,
20464,Іркутське публічне акціонерне товариство енергетики та електрифікації,legal,active,50/2023,2023-01-28,,,,,,,,,
20465,"Спільне білорусько-російське відкрите акціонерне товариство ""Білгазпромбанк""",legal,active,50/2023,2023-01-28,,,,,,,,,
20466,"Відкрите акціонерне товариство ""Лакофарба""",legal,active,50/2023,2023-01-28,,,,,,,,,
20467,"Товариство з обмеженою відповідальністю ""АлдіГрад""",legal,active,50/2023,2023-01-28,,,,,,,,,
20468,"Товариство з обмеженою відповідальністю ""ЄвроТрансВагон""",legal,active,50/2023,2023-01-28,,,,,,,,,
20469,"Товариство з обмеженою відповідальністю ""Ізотермічна Логістика""",legal,active,50/2023,2023-01-28,,,,,,,,,
20470,"Товариство з обмеженою відповідальністю ""ПЛМ-Інновації""",legal,active,50/2023,2023-01-28,,,,,,,,,
20471,"Товариство з обмеженою відповідальністю ""Рієтума Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20472,"Товариство з обмеженою відповідальністю ""Облдорснаб""",legal,active,50/2023,2023-01-28,,,,,,,,,
20473,"Товариство з обмеженою відповідальністю ""БалтТрансСервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20474,"Товариство з обмеженою відповідальністю ""Логовіп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20475,"Товариство з обмеженою відповідальністю ""Інтергруп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20476,"Товариство з обмеженою відповідальністю ""Тексол Транс Сервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20477,"Акціонерне товариство ""Нафтотранспорт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20478,"Товариство з обмеженою відповідальністю ""Макрохем-Р""",legal,active,50/2023,2023-01-28,,,,,,,,,
20479,"Товариство з обмеженою відповідальністю ""Реал-Агент""",legal,active,50/2023,2023-01-28,,,,,,,,,
20480,"Товариство з обмеженою відповідальністю ""Інвестиційна вагонна компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20481,"Товариство з обмеженою відповідальністю ""Транспром""",legal,active,50/2023,2023-01-28,,,,,,,,,
20482,"Товариство з обмеженою відповідальністю ""Трансресурс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20483,"Товариство з обмеженою відповідальністю ""Сировинні Ресурси-Бел""",legal,active,50/2023,2023-01-28,,,,,,,,,
20484,"Товариство з обмеженою відповідальністю ""Союзлізингтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20485,"Акціонерне товариство ""КФС-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20486,"Товариство з обмеженою відповідальністю ""Омський завод технічного вуглецю""",legal,active,50/2023,2023-01-28,,,,,,,,,
20487,"Товариство з обмеженою відповідальністю ""Мінерал-Транс-Сервіс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20488,"Товариство з обмеженою відповідальністю ""Райффайзен-Лізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20489,"Товариство з обмеженою відповідальністю ""Спецтехлізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20490,"Товариство з обмеженою відповідальністю ""Трансоушен РУ""",legal,active,50/2023,2023-01-28,,,,,,,,,
20491,"Товариство з обмеженою відповідальністю ""Юнітранс Рейл""",legal,active,50/2023,2023-01-28,,,,,,,,,
20492,"Товариство з обмеженою відповідальністю ""Омськ-Імущество""",legal,active,50/2023,2023-01-28,,,,,,,,,
20493,"Товариство з обмеженою відповідальністю ""Ромтранс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20494,"Товариство з обмеженою відповідальністю ""Рустранском""",legal,active,50/2023,2023-01-28,,,,,,,,,
20495,"Товариство з обмеженою відповідальністю ""Техресурс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20496,"Товариство з обмеженою відповідальністю ""Транзит Груп""",legal,active,50/2023,2023-01-28,,,,,,,,,
20497,"Іноземне товариство з обмеженою відповідальністю ""Омськ Карбон Могильов""",legal,active,50/2023,2023-01-28,,,,,,,,,
20498,"Акціонерне товариство ""Сибірська вугільна енергетична компанія""",legal,active,50/2023,2023-01-28,,,,,,,,,
20499,"Товариство з обмеженою відповідальністю ""Бізнес центр ""Перово""",legal,active,50/2023,2023-01-28,,,,,,,,,
20500,"Товариство з обмеженою відповідальністю ""Діловий візит""",legal,active,50/2023,2023-01-28,,,,,,,,,
20501,"Товариство з обмеженою відповідальністю ""Темпторг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20502,"Експортно-виробниче республіканське унітарне підприємство ""Біллісекспорт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20503,"Товариство з обмеженою відповідальністю ""Газтехлізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20504,"Товариство з обмеженою відповідальністю ""СРВ-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20505,"Товариство з обмеженою відповідальністю ""Транслізинг""",legal,active,50/2023,2023-01-28,,,,,,,,,
20506,"Товариство з обмеженою відповідальністю ""УГМК-Транс""",legal,active,50/2023,2023-01-28,,,,,,,,,
20507,"Товариство з обмеженою відповідальністю ""Базовий стандарт""",legal,active,50/2023,2023-01-28,,,,,,,,,
20508,"Товариство з обмеженою відповідальністю ""Голдлайн""",legal,active,50/2023,2023-01-28,,,,,,,,,
20512,"Державна корпорація з атомної енергії ""Росатом""",legal,active,57/2023,2023-02-05,,,,,,,,,
20513,"Акціонерне товариство ""Атомний енергопромисловий комплекс""",legal,active,57/2023,2023-02-05,,,,,,,,,
